centre_number,name,address,district,state,pincode,pincode_source,programmes,school_type,registered_on,website,source_url,captured_on
IA005,The Gera School,"The Gera School, Survey No.13/1-A(Part, Panelim Village, Sao Pedro, Kadamba Plateau, Opposite Viva Housing Project,New, Tiswadi Taluka, Old Goa Road, Panjim, GOA, Goa 403402",NORTH GOA,GOA,403402,board,Early Years / Primary / Lower Secondary / Upper Secondary,Day school,2018-11-29,https://www.thegeraschool.com/,https://connectedtot.com/find-a-cambridge-school/Details/the-gera-school/,2026-08-25
IA012,Shishuvihar School,"70/80, Dr Baba Saheb Ambedkar Rd, Chinchpokali (East), Mumbai, Maharashtra 400012",MUMBAI,MAHARASHTRA,400012,board,Primary,Day school,2018-12-04,http://www.shishuviharindia.com/,https://connectedtot.com/find-a-cambridge-school/Details/shishuvihar-school/,2026-08-25
IA015,Centre Point School International,"Bhisen Khori, Dabha,Amravati Road Bypass,Nagpur 440023,Maharashtra,India",NAGPUR,MAHARASHTRA,440023,board,Primary / Lower Secondary / Upper Secondary / Advanced,,2019-01-11,,https://connectedtot.com/find-a-cambridge-school/Details/centre-point-school-international/,2026-08-25
IA017,Poorna Learning Centre,"Sathanur village, Bagalur cross, Jala Hobli Post, Bangalore North - 562149",BENGALURU URBAN,KARNATAKA,562149,board,Upper Secondary / Advanced,Day school,2019-04-30,http://www.poorna.in/,https://connectedtot.com/find-a-cambridge-school/Details/poorna-learning-centre/,2026-08-25
IA018,Crimson Anisha Global School Undri,"S. No, 13, 1/1, NIBM Rd, Kad Nagar, Mohammed Wadi, Pune, Maharashtra 411048",PUNE,MAHARASHTRA,411048,board,Primary / Lower Secondary / Upper Secondary / Advanced,Day school,2019-04-30,https://cagschool.com/,https://connectedtot.com/find-a-cambridge-school/Details/crimson-anisha-global-school-undri/,2026-08-25
IA020,Livingstone Foundation International,"Livingstone Foundation International, Thahekhu / Kevijau, Dimapur-797112, Nagaland",PEREN,NAGALAND,797112,board,Primary,Day school,2019-01-21,https://livingstonenagaland.com/school/,https://connectedtot.com/find-a-cambridge-school/Details/livingstone-foundation-international/,2026-08-25
IA030,Rustomjee Cambridge International School,"Rustomjee Urbania, Eastern Express Highway, Majiwada, next to Saket Complex, Thane West, Mumbai 400601",THANE,MAHARASHTRA,400601,board,Upper Secondary,Day school,2019-04-26,,https://connectedtot.com/find-a-cambridge-school/Details/rustomjee-cambridge-international-school/,2026-08-25
IA031,Nalapad Academy,"103, BWSSB Road, Behind, Embassy Golf Links Business Park, Challaghatta, Bengaluru, Karnataka 560037",BENGALURU URBAN,KARNATAKA,560037,board,Primary / Lower Secondary / Upper Secondary / Advanced,Day school,2019-06-27,http://www.nalapadacademy.in/,https://connectedtot.com/find-a-cambridge-school/Details/nalapad-academy/,2026-08-25
IA032,Venkateshwar Global School,"Sector-13, Rohini,New Delhi,110085,India",NORTH WEST,DELHI,110085,board,Primary / Lower Secondary,,2019-02-19,,https://connectedtot.com/find-a-cambridge-school/Details/venkateshwar-global-school/,2026-08-25
IA033,The Oberai School of Integrated Studies (The OASIS),"SportsCity, New Raipur-Thano Airport Expressway, Dehradun 248 008, Uttarakhand, India",DEHRADUN,UTTARAKHAND,248008,board,Primary / Lower Secondary,Day school,2019-04-03,,https://connectedtot.com/find-a-cambridge-school/Details/the-oberai-school-of-integrated-studies-the-oasis-1/,2026-08-25
IA034,Doveton Oakley Nursery & Primary School,"No 8, General Collins Road,Choolai,Chennai,Tamil Nadu",CHENNAI,TAMIL NADU,,,Early Years / Primary / Lower Secondary,Day school,2020-07-15,http://www.dovetonoakley.com/,https://connectedtot.com/find-a-cambridge-school/Details/doveton-oakley-nursery-primary-school/,2026-08-25
IA035,"CPS Global School, Anna Nagar","CPS Global School,Anna Nagar Campus A 80, IIIrd Avenue, Annanagar, Chennai 102",CHENNAI,TAMIL NADU,600102,india_post_directory,Early Years / Primary / Lower Secondary / Upper Secondary / Advanced,Day school,2020-01-17,https://www.cpsglobalschool.com/,https://connectedtot.com/find-a-cambridge-school/Details/cps-global-school-thirumazhisai/,2026-08-25
IA036,Rungta Public School,"Rungta public school Kohka-Kurud, Bhilai Chhattisgarh, 490024",DURG,CHHATTISGARH,490024,board,Primary / Lower Secondary,Day school,2019-03-26,http://www.rungtapublicschool.ac.in/,https://connectedtot.com/find-a-cambridge-school/Details/rungta-public-school/,2026-08-25
IA037,Gopalan International School,"Behind Sap Labs,Seetharampalya,Basavananagar,Hoodi,Bangalore-560048",BENGALURU URBAN,KARNATAKA,560048,board,Primary / Lower Secondary / Upper Secondary,Day school,2019-11-14,https://www.gopalanschool.com/international/,https://connectedtot.com/find-a-cambridge-school/Details/gopalan-international-school/,2026-08-25
IA040,Elate International School,"6-1-24, Venkateshwara Colony, Alkapur Road, Manikonda, Hyderabad, Telangana, 500075",RANGA REDDY,TELANGANA,500075,board,Primary,Day school,2019-06-18,https://elateschool.com/,https://connectedtot.com/find-a-cambridge-school/Details/elate-international-school/,2026-08-25
IA044,Sloka International School,"EXIT-12, ORR, NEAR RTA OFFICE, MANNEGUDA, TURKAYAMJAL, RANGA REDDY DIST-501510",RANGA REDDY,TELANGANA,501510,board,Early Years / Primary / Lower Secondary / Upper Secondary,Day school,2019-01-07,http://www.slokainternational.com/,https://connectedtot.com/find-a-cambridge-school/Details/sloka-international-school/,2026-08-25
IA045,Explorica Premium School,"2/10/1473 Jyothi Nagar,Karimnagar,Telangana 505001",KARIMNAGAR,TELANGANA,505001,board,Primary,Day school,2019-04-16,http://www.explorica.in/,https://connectedtot.com/find-a-cambridge-school/Details/explorica-premium-school/,2026-08-25
IA046,The Bay International School & Junior College,"2/159 East Coast Road, Injambakkam, Chennai- 600115",CHENNAI,TAMIL NADU,600115,board,Primary / Lower Secondary / Upper Secondary / Advanced,Day school,2019-05-29,https://bayinternationalschool.com/,https://connectedtot.com/find-a-cambridge-school/Details/the-bay-international-school-junior-college/,2026-08-25
