affiliation_no,school_code,name,address,district,state,country,pincode,pincode_source,level,affiliated_from,affiliated_to,school_type,medium,gender,year_founded,managing_trust,website,source_url,captured_on
1000001,54070,PM SHRI KENDRIYA VIDYALAYA NO. 1,OPP CENTRAL INDIA FLOUR MILLS BHOPAL MADHYA PRADESH,BHOPAL,MADHYA PRADESH,India,462011,cbse_2018_dataset,Senior Secondary Level,,,KVS,ENGLISH,CO-EDUCATIONAL,,KENDRIYA VIDYALAYA SANGATHAN,http://www.kv1bhopal.edu.in,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/1000001,2026-08-25
1000002,54068,PM SHRI KENDRIYA VIDYALAYA,AIR FORCE STATION AMLA POST AMLA DEPOT BETUL DISTT MADHYA PRADESH,BETUL,MADHYA PRADESH,India,460553,cbse_2018_dataset,Senior Secondary Level,,,KVS,ENGLISH,CO-EDUCATIONAL,,KENDRIYA VIDYALAYA SANGATHAN,https://afsamla.kvs.ac.in,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/1000002,2026-08-25
1000003,54082,KENDRIYA VIDYALAYA NO 1,SHAKTI NAGAR GWALIOR MADHYA PRADESH,GWALIOR,MADHYA PRADESH,India,474002,cbse_2018_dataset,Senior Secondary Level,,,KVS,ENGLISH,CO-EDUCATIONAL,,KENDRIYA VIDYALAYA SANGATHAN,https://no1gwalior.kvs.ac.in,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/1000003,2026-08-25
1000004,54086,PM SHRI KENDRIYA VIDYALAYA NO. II,A F S MAHARAJPUR GWALIOR MADHYA PRADESH,GWALIOR,MADHYA PRADESH,India,474020,cbse_2018_dataset,Senior Secondary Level,,,KVS,ENGLISH,CO-EDUCATIONAL,,KENDRIYA VIDYALAYA SANGATHAN,https://no2gwalior.kvs.ac.in/,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/1000004,2026-08-25
1000005,54100,PM SHRI KENDRIYA VIDYALAYA NO 1,G.C.F.(ESTATE) JABALPUR MADHYA PRADESH,JABALPUR,MADHYA PRADESH,India,482011,cbse_2018_dataset,Senior Secondary Level,,,KVS,ENGLISH,CO-EDUCATIONAL,,KENDRIYA VIDYALAYA SANGATHAN,http://www.no1jabalpurgfc.kvs.ac.in,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/1000005,2026-08-25
1000006,54095,PM SHRI KENDRIYA VIDYALAYA,STC AREA JABALPUR MADHYA PRADESH,JABALPUR,MADHYA PRADESH,India,482001,cbse_2018_dataset,Senior Secondary Level,,,KVS,ENGLISH,CO-EDUCATIONAL,,KENDRIYA VIDYALAYA SANGATHAN,https://no1stcjabalpur.kvs.ac.in,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/1000006,2026-08-25
1000007,54114,PM SHRI KENDRIYA VIDYALAYA NO 1,10 MALL ROAD OPP CANTT BOARD OFFICE SAGAR CANTT MADHYA PRADESH,SAGAR,MADHYA PRADESH,India,470001,cbse_2018_dataset,Senior Secondary Level,,,KVS,ENGLISH,CO-EDUCATIONAL,,KENDRIYA VIDYALAYA SANGATHAN,https://no1sagarcantt.kvs.ac.in,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/1000007,2026-08-25
1000008,54091,PM SHRI KENDRIYA VIDYALAYA,PACHMARHI HOSHANGABAD DISTT MADHYA PRADESH,NARMADAPURAM,MADHYA PRADESH,India,461881,cbse_2018_dataset,Senior Secondary Level,,,KVS,ENGLISH,CO-EDUCATIONAL,,KENDRIYA VIDYALAYA SANGATHAN,https://pachmarhi.kvs.ac.in/,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/1000008,2026-08-25
1000009,54111,PM SHRI KENDRIYA VIDYALAYA,C R P F CAMPUS NEEMUCH MADHYA PRADESH,NEEMUCH,MADHYA PRADESH,India,458441,cbse_2018_dataset,Senior Secondary Level,,,KVS,ENGLISH,CO-EDUCATIONAL,,KENDRIYA VIDYALAYA SANGATHAN,http://www.crpfneemuch.kvs.ac.in,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/1000009,2026-08-25
1000010,54072,PM SHRI KENDRIYA VIDYALAYA,3 EME CENTRE BAIRAGARH BHOPAL MADHYA PRADESH,BHOPAL,MADHYA PRADESH,India,462031,cbse_2018_dataset,Senior Secondary Level,,,KVS,ENGLISH,CO-EDUCATIONAL,,KENDRIYA VIDYALAYA SANGATHAN,http://www.bairagarh.kvs.ac.in,https://saras.cbse.gov.in/saras/AffiliatedList/AfflicationDetails/1000010,2026-08-25
