ib_code,name,address,district,state,pincode,pincode_source,programmes,ib_since,school_type,boarding,gender,teaching_languages,website,source_url,captured_on
000067,Kodaikanal International School,"PO Box 25, Seven Roads Junction, Kodaikanal, Tamil Nadu,Tamil Nadu",DINDIGUL,TAMIL NADU,624101,board,DIPLOMA / IBCC / MYP / PYP,01 January 1976,PRIVATE,Boarding / Mixed,Coeducational,English,https://www.kis.in/,https://www.ibo.org/en/school/000067,2026-08-25
000220,American Embassy School,"American Embassy School, Chandragupta Marg, Chanakyapuri, New Dehli, 110 021",NEW DELHI,DELHI,110021,india_post_directory,DIPLOMA,01 June 1982,PRIVATE,Day,Coeducational,English,https://aes.ac.in/,https://www.ibo.org/en/school/000220,2026-08-25
000766,IIS World School (A Unit of Indian Council For International Amity),"Kshipra Path, Opposite VT Road, Mansarovar, Jaipur, Rajasthan",JAIPUR,RAJASTHAN,302020,board,DIPLOMA,30 April 2012,PRIVATE,Day,Coeducational,English,https://www.iisjaipur.org/,https://www.ibo.org/en/school/000766,2026-08-25
000969,Mahindra United World College,"The Mahindra United World College of India, Sr. No 115, AT Khubawali, Taluka- Mulshi, Paud, Pune, Kothrud,Maharastra",PUNE,MAHARASHTRA,412108,board,DIPLOMA / IBCC,12 March 1997,PRIVATE,Boarding,Coeducational,English,https://uwcmahindracollege.org/,https://www.ibo.org/en/school/000969,2026-08-25
001070,Chinmaya International Residential School,"Nallurvayal Post, Siruvani Road, Coimbatore, Tamil Nadu, 641 114",COIMBATORE,TAMIL NADU,641114,india_post_directory,DIPLOMA,15 October 1998,PRIVATE,Boarding,Coeducational,English,https://www.cirschool.org/,https://www.ibo.org/en/school/001070,2026-08-25
001078,American School of Bombay,"American School of Bombay, SF 2, G Block, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra",MUMBAI SUBURBAN,MAHARASHTRA,400098,board,DIPLOMA / PYP,10 December 1998,PRIVATE,Day,Coeducational,English,https://www.asbindia.org/,https://www.ibo.org/en/school/001078,2026-08-25
001121,Canadian International School,"Survey 4 & 20 Manchenahalli Village, Yelahanka Hobli, Bangalore, Bengaluru, Karnataka, 560 064",BENGALURU URBAN,KARNATAKA,560064,india_post_directory,DIPLOMA,22 April 1999,PRIVATE,Mixed,Coeducational,English,https://www.canadianinternationalschool.com/,https://www.ibo.org/en/school/001121,2026-08-25
001226,The International School Bangalore,"NAFL Valley, Whitefield-Sarjapur Road, Near Dommasandra Circle, Bangalore, Karnataka,Karnataka",BENGALURU URBAN,KARNATAKA,562125,board,DIPLOMA / PYP,28 June 2000,PRIVATE,Mixed,Coeducational,English,https://www.tisb.org/,https://www.ibo.org/en/school/001226,2026-08-25
001350,Good Shepherd International School,"Good Shepherd Knowledge Village, M Palada P.O., Ootacamund, The Nilgiris, Tamil Nadu,Tamil Nadu",THE NILGIRIS,TAMIL NADU,643004,board,DIPLOMA / MYP / PYP,04 February 2002,PRIVATE,Boarding,Coeducational,English,https://www.gsis.ac.in/,https://www.ibo.org/en/school/001350,2026-08-25
001424,"Pathways World School, Gurgaon","Pathways World School, Aravali Retreat, Off Gurgaon Sohna Road, Gurugram, Gurgaon, Haryana",GURUGRAM,HARYANA,122102,board,DIPLOMA / MYP / PYP,20 January 2003,PRIVATE,Boarding / Mixed,Coeducational,English,https://www.pws.edu.in,https://www.ibo.org/en/school/001424,2026-08-25
001425,Dhirubhai Ambani International School,"5 Plot Scl, Bandra Kurla Complex Bandra East Mumbai, Bandra East Mumbai",MUMBAI SUBURBAN,MAHARASHTRA,400051,board,DIPLOMA,20 January 2003,PRIVATE,Day,Coeducational,English,https://www.dais.edu.in,https://www.ibo.org/en/school/001425,2026-08-25
001805,Mahindra International School,"P-26 Rajiv Gandhi Infotech Park, MIDC Phase 1, Hinjawadi, Pune, Maharashtra",PUNE,MAHARASHTRA,411057,board,DIPLOMA / MYP / PYP,16 June 1999,PRIVATE,Mixed / Day,Coeducational,English,https://www.misp.org/,https://www.ibo.org/en/school/001805,2026-08-25
001940,Ahmedabad International School,"Judges Bungalow Road, Opposite Rajpath Row Houses, Bodakdev, Ahmedabad, Gujarat",AHMADABAD,GUJARAT,380015,board,DIPLOMA / PYP,28 November 2003,PRIVATE,Day,Coeducational,English,https://www.aischool.net/,https://www.ibo.org/en/school/001940,2026-08-25
002149,Jamnabai Narsee International School,"Narsee Monjee Bhavan, N.S. Road No. 7, JVPD Scheme, Vile Parle (West), Mumbai, Maharashtra",MUMBAI SUBURBAN,MAHARASHTRA,400049,board,DIPLOMA / MYP / PYP,06 September 2004,PRIVATE,Day,Coeducational,English,https://www.jnis.ac.in/,https://www.ibo.org/en/school/002149,2026-08-25
002151,Ecole Mondiale World School,"Gulmohar Cross Road No: 9, JVPD, Juhu, Mumbai, Maharashtra",MUMBAI SUBURBAN,MAHARASHTRA,400049,board,DIPLOMA / MYP / PYP,06 September 2004,PRIVATE,Day,Coeducational,English,https://www.ecolemondiale.org,https://www.ibo.org/en/school/002151,2026-08-25
002198,Oakridge International School,"On Nanakramguda Road Cyberabad, Hyderabad, Andhra Pradesh",HYDERABAD,TELANGANA,500008,board,DIPLOMA / MYP / PYP,22 October 2004,PRIVATE,Day,Coeducational,English,https://www.oakridge.in/,https://www.ibo.org/en/school/002198,2026-08-25
002215,The British School New Delhi,"Rizal Marg, Chanakyapuri Delhi, New Delhi",NEW DELHI,DELHI,110021,board,DIPLOMA / IBCC,13 December 2004,PRIVATE,Day / Mixed,Coeducational,English,https://www.british-school.org/,https://www.ibo.org/en/school/002215,2026-08-25
002227,The Shri Ram School,"Moulsari Avenue DLF Phase-3, Gurgaon, Haryana",GURUGRAM,HARYANA,122002,board,DIPLOMA,31 January 2005,PRIVATE,Day,Coeducational,English,https://www.tsrs.org/,https://www.ibo.org/en/school/002227,2026-08-25
002228,Podar International School,"Saraswati Road, Santacruz (West), Mumbai, Maharashtra",MUMBAI SUBURBAN,MAHARASHTRA,400054,board,DIPLOMA / IBCC / PYP,31 January 2005,PRIVATE,Day,Coeducational,English / Hindi,https://www.podarinternationalschool.com/,https://www.ibo.org/en/school/002228,2026-08-25
002272,"Indus International School, Bangalore","Billapura Cross, Sarjapur, Bangalore, Karnataka",BENGALURU URBAN,KARNATAKA,562125,board,DIPLOMA / IBCC / MYP / PYP,21 March 2005,PRIVATE,Mixed,Coeducational,English / Spanish,https://www.indusschool.com/,https://www.ibo.org/en/school/002272,2026-08-25
002279,GD Goenka World School,"GD Goenka World School, GD Goenka education city, Gurgaon-Sohna road, Sohna, Haryana,Haryana",NUH,HARYANA,122103,board,DIPLOMA / IBCC / PYP,24 March 2005,PRIVATE,Mixed,Coeducational,English,https://www.gdgws.gdgoenka.com,https://www.ibo.org/en/school/002279,2026-08-25
002328,Choithram International,"5 Manik Bagh Road, Choithram Hospital Campus, Indore",INDORE,MADHYA PRADESH,452014,board,DIPLOMA / MYP / PYP,07 April 2005,PRIVATE,Mixed,Coeducational,English,https://choithraminternational.com/,https://www.ibo.org/en/school/002328,2026-08-25
002347,International School of Hyderabad,"c/o ICRISAT, PATANCHERU, HYDERABAD, Andhra Pradesh,TELENGANA",SANGAREDDY,TELANGANA,502324,board,DIPLOMA,28 April 2005,PRIVATE,Day,Coeducational,English,https://www.ishyd.org/,https://www.ibo.org/en/school/002347,2026-08-25
002388,Bangalore International School,"Geddalahalli, Hennur Bagalur Road, Kothanur Post, Bengaluru, Karnataka, 560 077",BENGALURU URBAN,KARNATAKA,560077,india_post_directory,DIPLOMA,02 June 2005,PRIVATE,Mixed,Coeducational,English,https://www.bangaloreinternationalschool.org/,https://www.ibo.org/en/school/002388,2026-08-25
002602,B.D. Somani International School,"625, G.D. Somani Marg, Cuffe Parade, Ganesh Murti Nagar, Mumbai, Maharashtra",MUMBAI,MAHARASHTRA,400005,board,DIPLOMA / PYP,06 February 2006,PRIVATE,Day,Coeducational,English,https://www.bdsomaniinternationalschool.com/,https://www.ibo.org/en/school/002602,2026-08-25
002603,The Doon School,"Mall Road, Dehradun, Uttarakhand, Dehradun",DEHRADUN,UTTARAKHAND,248001,board,DIPLOMA,28 August 2006,PRIVATE,Boarding,Male,English,https://www.doonschool.com/,https://www.ibo.org/en/school/002603,2026-08-25
002605,"Navrachana International School, Vadodara","Vasna Bhayali Road, Vadodara, Gujarat",VADODARA,GUJARAT,391410,board,DIPLOMA / IBCC / MYP / PYP,27 June 2006,PRIVATE,Mixed,Coeducational,English,https://www.nisvib.in,https://www.ibo.org/en/school/002605,2026-08-25
002672,DRS International School,"Campus Survey No 523, Opp. Apparel Park, Gundla Pochampally, Kompally, Medchal Mandal, R.R.District, Hyderabad, Hyderabad,Telanagana",MEDCHAL MALKAJGIRI,TELANGANA,500100,board,DIPLOMA / MYP / PYP,08 September 2008,PRIVATE,Mixed,Coeducational,English,https://www.drsinternational.com/,https://www.ibo.org/en/school/002672,2026-08-25
002675,Hill Spring International School,"M.P. Mill Compound, B B. Nakashe Marg, Tardeo, Mumbai",MUMBAI,MAHARASHTRA,400034,board,DIPLOMA / PYP,22 November 2007,PRIVATE,Day,Coeducational,English,https://www.hsieducation.org,https://www.ibo.org/en/school/002675,2026-08-25
002760,Jayshree Periwal International School,"Mahindra SEZ Road, Mahapura, Jaipur, Rajasthan",JAIPUR,RAJASTHAN,302026,board,DIPLOMA / MYP / PYP,28 February 2006,PRIVATE,Boarding / Day,Coeducational,English,https://jpischool.com,https://www.ibo.org/en/school/002760,2026-08-25
002764,Jain International Residential School,"Jakkasandra Post, Kanakpura Road, Ramanagara District, Bangalore, Karnataka",RAMANAGARA,KARNATAKA,562112,board,DIPLOMA,14 April 2011,PRIVATE,Boarding,Coeducational,English,https://www.jirs.ac.in/,https://www.ibo.org/en/school/002764,2026-08-25
002767,Vishwashanti Gurukul World School,"Vishwashanti Gurukul World School, Rajbaug, Pune-Solapur Highway, Village- Loni Kalbhor, Pune, Maharashtra",PUNE,MAHARASHTRA,412201,board,DIPLOMA / IBCC / MYP / PYP,12 May 2006,PRIVATE,Mixed / Boarding,Coeducational,English,https://mitgurukul.com/,https://www.ibo.org/en/school/002767,2026-08-25
002798,Symbiosis International School,"Gate 1&2, Symbiosis Ishanya Campus, Viman Nagar, Pune, Maharashtra",PUNE,MAHARASHTRA,411014,board,DIPLOMA / MYP / PYP,14 June 2006,PRIVATE,Boarding / Day / Mixed,Coeducational,English / French,https://www.symbiosisinternationalschool.net/,https://www.ibo.org/en/school/002798,2026-08-25
002846,Victorious Kidss Educares,"Survey No. 53, 54 & 58, Hissa 2/1A, Off. Shreeram Society, Nagar Road, Kharadi, Pune, Maharashtra",PUNE,MAHARASHTRA,411014,board,DIPLOMA / MYP / PYP,08 September 2008,PRIVATE,Day,Coeducational,English,https://www.victoriouskidsseducares.org,https://www.ibo.org/en/school/002846,2026-08-25
003077,Fazlani L'Académie Globale,"Shivdas Chapsi Marg, Opp. Wallace Fortuna Towers, Mazagaon, Mumbai, Maharashtra",MUMBAI,MAHARASHTRA,400009,board,PYP,10 April 2007,PRIVATE,Day,Coeducational,English,https://flag.org.in/,https://www.ibo.org/en/school/003077,2026-08-25
003157,Singapore International School,"Next to Thakur Mall, On National Highway 8, Near Dahisar Toll Post, Adjacent to Thakur Mall, Mumbai, Maharashtra",,MAHARASHTRA,401104,board,DIPLOMA / PYP,10 April 2007,PRIVATE,Mixed / Day,Coeducational,English,https://www.sisindia.net/,https://www.ibo.org/en/school/003157,2026-08-25
003159,American International School-Chennai,"100 Feet Road, Taramani, Chennai, 600 113",CHENNAI,TAMIL NADU,600113,india_post_directory,DIPLOMA,10 April 2007,PRIVATE,Day,Coeducational,English,https://www.aischennai.org/,https://www.ibo.org/en/school/003159,2026-08-25
003409,Neerja Modi School,"Shipra Path, Mansarovar, Jaipur, Rajasthan",JAIPUR,RAJASTHAN,302020,board,DIPLOMA,02 February 2012,PRIVATE,Day,Coeducational,English,https://www.nmsindia.org/,https://www.ibo.org/en/school/003409,2026-08-25
003418,Ajmera Global School,"Yogi Nagar Road, Borivali WestMumbai",MUMBAI SUBURBAN,MAHARASHTRA,400092,board,PYP,19 October 2009,PRIVATE,Day,Coeducational,English,https://www.ajmeraglobalschool.com/,https://www.ibo.org/en/school/003418,2026-08-25
003436,The Galaxy School,"The Galaxy School, SNK Main Building, University Road, Rajkot, Gujarat",RAJKOT,GUJARAT,360005,board,DIPLOMA,30 April 2009,PRIVATE,None,Coeducational,English,https://www.thegalaxyschool.org,https://www.ibo.org/en/school/003436,2026-08-25
003482,Calorx Olive International School,"Besides Ahmedabad Dental College, Bhadaj - Ranchhodpura Road, Bhadaj, Ranchhodpura - Bhadej Road, Ahmedabad, Gujarat",AHMADABAD,GUJARAT,380060,board,DIPLOMA / MYP / PYP,23 October 2008,PRIVATE,Mixed / Day,Coeducational,English,https://www.cois.edu.in/,https://www.ibo.org/en/school/003482,2026-08-25
003508,Indus International School Pune,"576 Bhukum, Tal. Mulshi, Near Manas Resort, Maharashtra, Pune",PUNE,MAHARASHTRA,412115,board,DIPLOMA / IBCC / MYP / PYP,18 February 2011,PRIVATE,Mixed,Coeducational,English,https://www.indusschoolpune.com/,https://www.ibo.org/en/school/003508,2026-08-25
003510,SVKM J V PAREKH INTERNATIONAL SCHOOL,"Dadabhai Road, Vile Parle West, Off S. V. Road, Mumbai, Maharashtra",MUMBAI SUBURBAN,MAHARASHTRA,400056,board,DIPLOMA,13 May 2008,PRIVATE,Day,Coeducational,English,https://jvparekhintnl.ac.in/,https://www.ibo.org/en/school/003510,2026-08-25
003517,Amity Global School,"Sector 46, Gurgaon, Haryana",GURUGRAM,HARYANA,122002,board,DIPLOMA / PYP,25 March 2008,PRIVATE,Day,Coeducational,English,https://amityglobalschool.com/gurgaon/index.aspx,https://www.ibo.org/en/school/003517,2026-08-25
003527,Kanakia International School,"opp. Indian Oil Nagar, Nr. Shankara Colony, Behind Taasa Container Yard B, Ghatkopar - Mankhurd Link Road, Mumbai, Maharashtra",MUMBAI SUBURBAN,MAHARASHTRA,400088,board,DIPLOMA / MYP / PYP,25 March 2008,PRIVATE,Day,Coeducational,English,https://kanakiaschools.org/admission-kis-ib-chembur,https://www.ibo.org/en/school/003527,2026-08-25
003528,Johnson Grammar School IBDP,"Johnson Grammar School ICSE & IBDP, Plot No.A/16, Mallapur Road,Nacharam, Near Telephone Exchange,Uppal Mandal, Hyderabad, Telangana, 500 076",MEDCHAL MALKAJGIRI,TELANGANA,500076,india_post_directory,DIPLOMA,25 March 2008,PRIVATE,Day,Coeducational,English,https://www.jgsibdp.org,https://www.ibo.org/en/school/003528,2026-08-25
003535,HFS International,"Richmond Street, Senior School Building, Hiranandani Complex Powai, Mumbai, Maharashtra",MUMBAI SUBURBAN,MAHARASHTRA,400076,board,DIPLOMA,25 March 2008,PRIVATE,Day,Coeducational,English,https://hfsinternationalpowai.com/,https://www.ibo.org/en/school/003535,2026-08-25
003545,Scottish High International School,"G Block, Sushant Lok II, Sector 57, Sector 57, Gurgaon, Haryana,Haryana",GURUGRAM,HARYANA,122011,board,DIPLOMA / IBCC / PYP,16 March 2009,PRIVATE,Day,Coeducational,English / Hindi,https://www.scottishigh.com,https://www.ibo.org/en/school/003545,2026-08-25
003559,Suncity School,"Suncity Township, Sector-54, Gurugram, HARYANA",GURUGRAM,HARYANA,122002,board,DIPLOMA,18 September 2017,PRIVATE,Day,Coeducational,English,https://www.suncityschool.in,https://www.ibo.org/en/school/003559,2026-08-25
003566,Oberoi International School,"Western Express Highway, Goregaon EastMumbai",MUMBAI SUBURBAN,MAHARASHTRA,400063,board,DIPLOMA / MYP / PYP,02 June 2009,PRIVATE,Day,Coeducational,English,https://www.oberoi-is.org/,https://www.ibo.org/en/school/003566,2026-08-25
003604,Sancta Maria International School (Faridabad),"Sancta Maria International school, Sector 93, Near Bhupani Village, Faridabad, Haryana",FARIDABAD,HARYANA,121002,board,DIPLOMA / PYP,18 January 2019,PRIVATE,Boarding,Coeducational,English / Hindi,https://sanctamaria.co.in/en/,https://www.ibo.org/en/school/003604,2026-08-25
003762,M.Ct.M.Chidambaram Chettyar International School,"179 Luz Church Road, Mylapore, Chennai, Tamilnadu",CHENNAI,TAMIL NADU,600004,board,DIPLOMA,16 March 2009,PRIVATE,Day,Coeducational,English,https://www.mctminternational.com,https://www.ibo.org/en/school/003762,2026-08-25
003768,Dr. Pillai Global Academy,"Plot No. 1, RSC 48, Gorai-II, MHADA LAYOUT, Near Gorai Bus Depot, Borivali (West), Mumbai, Maharashtra",MUMBAI SUBURBAN,MAHARASHTRA,400092,board,DIPLOMA,23 February 2009,PRIVATE,Day,Coeducational,English,https://drpillaiglobalacademy.ac.in,https://www.ibo.org/en/school/003768,2026-08-25
003773,Garodia International Centre for Learning Mumbai,"Plot No. 55, 90 Feet Road, Ghatkopar East, Mumbai, Maharashtra",MUMBAI SUBURBAN,MAHARASHTRA,400077,board,DIPLOMA,13 February 2009,PRIVATE,Day,Coeducational,English,https://giclm.edu.in,https://www.ibo.org/en/school/003773,2026-08-25
003800,"Silver Oaks International School, Hyderabad","c/o SVS Educational Academy, 1-93/12A, Bachupally Vill & Mandal, Bachupally, Miyapur-Dindigal Road, Hyderabad, Telengana",MEDCHAL MALKAJGIRI,TELANGANA,500090,board,PYP,09 December 2010,PRIVATE,Day,Coeducational,English,https://www.silveroaks.co.in/,https://www.ibo.org/en/school/003800,2026-08-25
