cisce_code,name,address,locality,district,state,pincode,pincode_source,courses,classification,gender,on_current_register,latitude,longitude,website,source_url,captured_on
AN001,Don Bosco School,"PORT BLAIR, South Andaman, Andaman and Nicobar Islands, 744103, India",PORT BLAIR,South Andaman,Andaman and Nicobar Islands,744103,board,ICSE / ISC,Day,Co-ed.,true,11.6324598,92.6692593,https://www.dbsandaman.org,https://locate.cisce.org/,2026-08-25
AP001,Paramjyoti Public School,"Amalapuram, East Godavari, Andhra Pradesh, 533 201, India",Amalapuram,East Godavari,Andhra Pradesh,533201,board,ICSE,Day/Residential,Co-ed.,true,16.5843647,82.0216942,https://www.paramjyotischools.in,https://locate.cisce.org/,2026-08-25
AP002,Vijayavani Residential School,"Chowdepalle, Chittoor, Andhra Pradesh, 517 257, India",Chowdepalle,Chittoor,Andhra Pradesh,517257,board,ICSE,Day/Residential,Co-ed.,true,13.4336161,78.6902755,,https://locate.cisce.org/,2026-08-25
AP003,Loyola Public School,"Loyola Nagar, Guntur, Andhra Pradesh, 522 005, India",Loyola Nagar,Guntur,Andhra Pradesh,522005,board,ICSE / ISC,Day/Residential,Co-ed.,true,16.3071859,80.372346,https://loyolapublicschool.org,https://locate.cisce.org/,2026-08-25
AP004,Little Flower English Medium School,"Vidya Nagar, Guntur, Andhra Pradesh, 522 007, India",Vidya Nagar,Guntur,Andhra Pradesh,522007,board,ICSE,Day,Co-ed.,true,16.32265,80.4245463,,https://locate.cisce.org/,2026-08-25
AP005,The Hyderabad Public School,"Begumpet, Hyderabad, Telangana, 500 016, India",Begumpet,Hyderabad,Telangana,500016,board,ICSE / ISC,Day/Residential,Co-ed.,true,17.4442397,78.4707916,,https://locate.cisce.org/,2026-08-25
AP006,St. George's Grammar School,"Abid Road, Hyderabad, Telangana, 500 001, India",Abid Road,Hyderabad,Telangana,500001,board,ICSE / ISC,Day,Boys,true,17.400786,78.4755618,,https://locate.cisce.org/,2026-08-25
AP007,St. George's Girls' Grammar School,"King Kothi Road, Hyderabad, Telangana, 500 001, India",King Kothi Road,Hyderabad,Telangana,500001,board,ICSE / ISC,Day,Girls,true,17.3970059,78.4795391,,https://locate.cisce.org/,2026-08-25
AP008,Vidyaranya High School For Boys & Girls,"Saifabad, Hyderabad, Telangana, 500 063, India",Saifabad,Hyderabad,Telangana,500063,board,ICSE,Day,Co-ed.,true,17.4046414,78.466314,,https://locate.cisce.org/,2026-08-25
AP009,Nalanda Public School,"Mehdipatnam, Hyderabad, Telangana, 500 028, India",Mehdipatnam,Hyderabad,Telangana,500028,board,ICSE,Day,Co-ed.,true,17.3948227,78.4290079,,https://locate.cisce.org/,2026-08-25
AP010,Nasr School,"Khairatabad, Hyderabad, Telangana, 500 004, India",Khairatabad,Hyderabad,Telangana,500004,board,ICSE / ISC,Day,Girls,true,17.4105858,78.4652316,https://www.nasrschool.in,https://locate.cisce.org/,2026-08-25
