school_id,board,board_code,udise_plus_id,udise_code_masked,match_type,match_note,evidence_url
sr109,cbse,2130128,2198084,******00233,own,,
sr314,cbse,130628,4719101,******01112,own,,
sr737,cbse,831214,,,own,,
sr763,cbse,3530050,1418834,******01504,own,,
sr792,icse,UP431,,,own,,
sr837,cbse,2133627,2198794,******00235,own,,
sr1171,cbse,831636,,,same_name_pincode,"Same name and pincode, and no other school with that name in that pincode.",
sr1171,icse,KA157,,,same_name_pincode,"Same name and pincode, and no other school with that name in that pincode.",
sr1381,cbse,3630597,5457841,******00739,own,,
sr1721,cbse,831274,5583545,******00609,same_name_pincode,"Same name and pincode, and no other school with that name in that pincode.",
sr1721,icse,KA260,5583545,******00609,same_name_pincode,"Same name and pincode, and no other school with that name in that pincode.",
sr1937,cbse,2133121,2192873,******04016,own,,
sr1994,cbse,2131403,2181936,******03302,own,,
sr2073,cbse,730035,1029640,******06801,own,,
sr2315,cbse,531529,1514121,******01209,own,,
sr2475,cbse,2730066,1604031,******05603,same_govt_code,Both listings match the same UDISE+ school record (udise_plus_id).,
sr2475,ib,062860,1604031,******05603,same_govt_code,Both listings match the same UDISE+ school record (udise_plus_id).,
sr2521,cbse,1930652,5106639,******04010,own,,
sr2604,cbse,1030565,4031392,******05212,own,,
sr3046,cbse,2133647,2189604,******05004,own,,
sr3176,icse,PU108,1206946,******11921,own,,
sr3390,icse,KA287,5518237,******09126,own,,
sr3561,cbse,2130060,1926188,******00121,own,,
sr3794,cbse,3630048,,,same_name_pincode,"Same name and pincode, and no other school with that name in that pincode.",
sr3794,ib,002198,,,same_name_pincode,"Same name and pincode, and no other school with that name in that pincode.",
sr3797,cbse,830806,5520656,******43104,own,,
sr3963,cbse,3630509,,,own,,
sr4084,cbse,2730248,1605365,******12707,own,,
sr4102,cbse,2131524,2013077,******07703,own,,
sr4170,cbse,1130068,4564830,******08802,own,,
sr4614,cbse,880012,5503561,******00586,own,,
sr4838,cambridge,IN702,3499713,******00604,same_name_pincode,"Same name and pincode, and no other school with that name in that pincode.",
sr4838,icse,WB277,3499713,******00604,same_name_pincode,"Same name and pincode, and no other school with that name in that pincode.",
sr5629,cambridge,IA913,5409529,******90212,own,,
sr5832,cbse,2130697,1972413,******11804,own,,
sr6029,cbse,530012,1512460,******10706,own,,
sr6067,cambridge,IA338,4614988,******06730,own,,
sr6149,cbse,531692,1510760,******00713,own,,
sr6478,cbse,1680007,1222877,******08607,own,,
sr6518,cbse,531197,1502887,******05103,own,,
sr6791,icse,UP096,,,own,,
sr7127,cambridge,IN149,5503731,******02205,same_name_pincode,"Same name and pincode, and no other school with that name in that pincode.",
sr7127,cbse,831033,5503731,******02205,same_website,Same website as the other listing of this school.,
sr7127,icse,KA309,5503731,******02205,same_website,Same website as the other listing of this school.,
sr7600,cambridge,IN175,4614184,******08655,same_name_pincode,"Same name and pincode, and no other school with that name in that pincode.",
sr7600,ib,062193,4614184,******08655,same_name_pincode,"Same name and pincode, and no other school with that name in that pincode.",
sr7724,cambridge,IA804,,,own,,
sr7781,cbse,531121,1500774,******12302,own,,
sr7990,cambridge,IN667,5520969,******33901,same_website,Same website as the other listing of this school.,
sr7990,icse,KA153,5520969,******33901,same_website,Same website as the other listing of this school.,
sr7990,ib,004876,5520969,******33901,same_website,Same website as the other listing of this school.,
sr8033,icse,KA248,5510378,******11610,own,,
sr8329,cbse,630101,,,own,,
sr8356,cbse,430163,4245604,******01784,own,,
sr8616,cbse,1931205,5159201,******03214,own,,
sr8700,cbse,2730188,,,own,,
sr8868,cbse,831285,5581521,******18316,own,,
sr9016,cbse,530531,1510804,******10805,own,,
sr9367,cbse,2756057,1605686,******10002,own,,
sr9958,cbse,2134099,2209137,******06004,own,,
sr9999,cbse,2131760,2183426,******13102,own,,
sr10048,cbse,830569,5501905,******00115,own,,
sr10155,cbse,800005,5503892,******03905,own,,
