school_id,name,boards,number_of_boards,state,district,pincode,country,udise_plus_id,udise_code_masked,staffroom_url
sr109,RAM KISHAN INSTITUTE,CBSE,1,UTTAR PRADESH,GHAZIABAD,201002,India,2198084,******00233,https://www.thestaffroom.in/school/ram-kishan-institute~sr109
sr314,DELHI PUBLIC SCHOOL,CBSE,1,ANDHRA PRADESH,GUNTUR,522034,India,4719101,******01112,https://www.thestaffroom.in/school/delhi-public-school~sr314
sr737,HARVEST INTERNATIONAL SCHOOL INNOVATION CAMPUS,CBSE,1,KARNATAKA,BENGALURU URBAN,562107,India,,,https://www.thestaffroom.in/school/harvest-international-school-innovation-campus~sr737
sr763,DEHRADUN HILLS ACADEMY,CBSE,1,UTTARAKHAND,DEHRADUN,248140,India,1418834,******01504,https://www.thestaffroom.in/school/dehradun-hills-academy~sr763
sr792,R K International School,ICSE,1,Uttar Pradesh,Meerut,250001,India,,,https://www.thestaffroom.in/school/r-k-international-school~sr792
sr837,SAPPHIRE INTERNATIONAL SCHOOL,CBSE,1,UTTAR PRADESH,GHAZIABAD,201016,India,2198794,******00235,https://www.thestaffroom.in/school/sapphire-international-school~sr837
sr1171,SHANTINIKETAN TRUST SCHOOL,CBSE + ICSE,2,KARNATAKA,BENGALURU URBAN,560076,India,,,https://www.thestaffroom.in/school/shantiniketan-trust-school~sr1171
sr1381,UNICENT SCHOOL,CBSE,1,TELANGANA,RANGAREDDY,500049,India,5457841,******00739,https://www.thestaffroom.in/school/unicent-school~sr1381
sr1721,CHRIST SCHOOL,CBSE + ICSE,2,KARNATAKA,BENGALURU URBAN,560029,India,5583545,******00609,https://www.thestaffroom.in/school/christ-school~sr1721
sr1937,D.R.S PUBLIC SCHOOL,CBSE,1,UTTAR PRADESH,GHAZIABAD,201009,India,2192873,******04016,https://www.thestaffroom.in/school/d-r-s-public-school~sr1937
sr1994,DELHI PUBLIC SCHOOL RAJ NAGAR,CBSE,1,UTTAR PRADESH,GHAZIABAD,201007,India,2181936,******03302,https://www.thestaffroom.in/school/delhi-public-school-raj-nagar~sr1994
sr2073,MAHAVIR INTERNATIONAL SCHOOL,CBSE,1,JAMMU & KASHMIR,JAMMU,171001,India,1029640,******06801,https://www.thestaffroom.in/school/mahavir-international-school~sr2073
sr2315,ORCHIDS PUBLIC SCHOOL,CBSE,1,HARYANA,GURUGRAM,122105,India,1514121,******01209,https://www.thestaffroom.in/school/orchids-public-school~sr2315
sr2475,MODERN PUBLIC SCHOOL,CBSE + IB,2,DELHI,NORTH WEST DELHI,110052,India,1604031,******05603,https://www.thestaffroom.in/school/modern-public-school~sr2475
sr2521,M.A.V VIDYASHRAM,CBSE,1,TAMILNADU,KANCHIPURAM,600073,India,5106639,******04010,https://www.thestaffroom.in/school/m-a-v-vidyashram~sr2521
sr2604,JAIN PUBLIC SCHOOL,CBSE,1,MADHYA PRADESH,UJJAIN,456771,India,4031392,******05212,https://www.thestaffroom.in/school/jain-public-school~sr2604
sr3046,DELHI PUBLIC SECONDARY SCHOOL,CBSE,1,UTTAR PRADESH,MIRZAPUR,231001,India,2189604,******05004,https://www.thestaffroom.in/school/delhi-public-secondary-school~sr3046
sr3176,St. Joseph's Convent School,ICSE,1,Punjab,Jalandhar,144005,India,1206946,******11921,https://www.thestaffroom.in/school/st-joseph-s-convent-school~sr3176
sr3390,Shree Dhanraj Phoolchand Hindi High School,ICSE,1,Karnataka,BENGALURU,560047,India,5518237,******09126,https://www.thestaffroom.in/school/shree-dhanraj-phoolchand-hindi-high-school~sr3390
sr3561,DELHI PUBLIC SCHOOL,CBSE,1,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,201303,India,1926188,******00121,https://www.thestaffroom.in/school/delhi-public-school~sr3561
sr3794,OAKRIDGE INTERNATIONAL SCHOOL,CBSE + IB,2,TELANGANA,HYDERABAD,500008,India,,,https://www.thestaffroom.in/school/oakridge-international-school~sr3794
sr3797,AUDEN SCHOOL,CBSE,1,KARNATAKA,BENGALURU URBAN,560085,India,5520656,******43104,https://www.thestaffroom.in/school/auden-school~sr3797
sr3963,KAIROS SCHOOL,CBSE,1,TELANGANA,RANGAREDDY,500032,India,,,https://www.thestaffroom.in/school/kairos-school~sr3963
sr4084,KAMAL MODEL SR SEC SCHOOL,CBSE,1,DELHI,NEW DELHI,110059,India,1605365,******12707,https://www.thestaffroom.in/school/kamal-model-sr-sec-school~sr4084
sr4102,S B S SCHOOL,CBSE,1,UTTAR PRADESH,MORADABAD,202411,India,2013077,******07703,https://www.thestaffroom.in/school/s-b-s-school~sr4102
sr4170,DELHI PUBLIC SCHOOL,CBSE,1,MAHARASHTRA,THANE,400706,India,4564830,******08802,https://www.thestaffroom.in/school/delhi-public-school~sr4170
sr4614,ARMY PUBLIC SCHOOL,CBSE,1,KARNATAKA,BENGALURU URBAN,560006,India,5503561,******00586,https://www.thestaffroom.in/school/army-public-school~sr4614
sr4838,Adamas International School,ICSE + Cambridge,2,West Bengal,Kolkata,700056,India,3499713,******00604,https://www.thestaffroom.in/school/adamas-international-school~sr4838
sr5629,"Meridian School, Chengicherla - Uppal",Cambridge,1,TELANGANA,MEDCHAL MALKAJGIRI,,India,5409529,******90212,https://www.thestaffroom.in/school/meridian-school-chengicherla-uppal~sr5629
sr5832,CAMBRIDGE SCHOOL,CBSE,1,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,201306,India,1972413,******11804,https://www.thestaffroom.in/school/cambridge-school~sr5832
sr6029,MODERN SCHOOL,CBSE,1,HARYANA,FARIDABAD,121002,India,1512460,******10706,https://www.thestaffroom.in/school/modern-school~sr6029
sr6067,Colours Innovation Academy,Cambridge,1,MAHARASHTRA,PUNE,411057,India,4614988,******06730,https://www.thestaffroom.in/school/colours-innovation-academy~sr6067
sr6149,EURO INTERNATIONAL SCHOOL,CBSE,1,HARYANA,GURUGRAM,122006,India,1510760,******00713,https://www.thestaffroom.in/school/euro-international-school~sr6149
sr6478,ARMY PUBLIC SCHOOL,CBSE,1,PUNJAB,FEROZEPUR,152123,India,1222877,******08607,https://www.thestaffroom.in/school/army-public-school~sr6478
sr6518,STANFORD INTERNATIONAL SCHOOL,CBSE,1,HARYANA,SONIPAT,131001,India,1502887,******05103,https://www.thestaffroom.in/school/stanford-international-school~sr6518
sr6791,St. John Bosco College,ICSE,1,Uttar Pradesh,Lucknow,226010,India,,,https://www.thestaffroom.in/school/st-john-bosco-college~sr6791
sr7127,VISHWA VIDYAPEETH,CBSE + ICSE + Cambridge,3,KARNATAKA,BENGALURU URBAN,560064,India,5503731,******02205,https://www.thestaffroom.in/school/vishwa-vidyapeeth~sr7127
sr7600,C P Goenka International School,Cambridge + IB,2,MAHARASHTRA,PUNE,412207,India,4614184,******08655,https://www.thestaffroom.in/school/c-p-goenka-international-school~sr7600
sr7724,Kairos International School,Cambridge,1,TELANGANA,RANGA REDDY,,India,,,https://www.thestaffroom.in/school/kairos-international-school~sr7724
sr7781,JYOTI PUBLIC SCHOOL,CBSE,1,HARYANA,GURUGRAM,122505,India,1500774,******12302,https://www.thestaffroom.in/school/jyoti-public-school~sr7781
sr7990,Greenwood High,ICSE + Cambridge + IB,3,Karnataka,BENGALURU,560087,India,5520969,******33901,https://www.thestaffroom.in/school/greenwood-high~sr7990
sr8033,St. John's School,ICSE,1,Karnataka,BENGALURU,560024,India,5510378,******11610,https://www.thestaffroom.in/school/st-john-s-school~sr8033
sr8329,LA MONTESSORI SCHOOL,CBSE,1,HIMACHAL PRADESH,KULLU,175125,India,,,https://www.thestaffroom.in/school/la-montessori-school~sr8329
sr8356,"PODAR INTERNATIONAL SCHOOL, AHMEDABAD",CBSE,1,GUJARAT,AHMEDABAD,382424,India,4245604,******01784,https://www.thestaffroom.in/school/podar-international-school-ahmedabad~sr8356
sr8616,VELS VIDYASHRAM,CBSE,1,TAMILNADU,CHENGALPATTU,600117,India,5159201,******03214,https://www.thestaffroom.in/school/vels-vidyashram~sr8616
sr8700,ST. MARKS'S SR SEC PUBLIC SCHOOL,CBSE,1,DELHI,WEST DELHI,110087,India,,,https://www.thestaffroom.in/school/st-marks-s-sr-sec-public-school~sr8700
sr8868,WINMORE ACADEMY,CBSE,1,KARNATAKA,BENGALURU URBAN,560064,India,5581521,******18316,https://www.thestaffroom.in/school/winmore-academy~sr8868
sr9016,D C MODEL SCHOOL,CBSE,1,HARYANA,FARIDABAD,121006,India,1510804,******10805,https://www.thestaffroom.in/school/d-c-model-school~sr9016
sr9367,GOVT SARVODAYA CO-EDU SR SEC SCHOOL,CBSE,1,DELHI,NEW DELHI,110026,India,1605686,******10002,https://www.thestaffroom.in/school/govt-sarvodaya-co-edu-sr-sec-school~sr9367
sr9958,HARISH CHANDRA MISHRA PUBLIC SCHOOL,CBSE,1,UTTAR PRADESH,AZAMGARH,276001,India,2209137,******06004,https://www.thestaffroom.in/school/harish-chandra-mishra-public-school~sr9958
sr9999,SAPPHIRE INTERNATIONAL SCHOOL,CBSE,1,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,201301,India,2183426,******13102,https://www.thestaffroom.in/school/sapphire-international-school~sr9999
sr10048,YOUNG SCHOLARS ACADEMY,CBSE,1,KARNATAKA,BENGALURU URBAN,560032,India,5501905,******00115,https://www.thestaffroom.in/school/young-scholars-academy~sr10048
